Word,Num
she,17
binnorie,15
sister,9
bonny,8
in,7
on,7
harp,7
hand,6
milldams,5
william,5
came,5
golden,5
hair,5
millstream,5
me,5
out,5
upon,4
love,4
no,4
away,4
day,4
princess,4
father,4
harper,4
sang,4
near,3
sir,3
glove,3
till,3
clear,3
went,3
got,3
bank,3
reach,3
cried,3
floated,3
shall,3
mine,3
castle,3
down,3
milldam,3
drowned,3
made,3
yonder,3
sits,3
time,2
kings,2
eldest,2
after,2
looked,2
youngest,2
grew,2
towards,2
one,2
get,2
fair,2
see,2
boats,2
come,2
stone,2
coming,2
waist,2
i,2
touch,2
again,2
cruel,2
sweet,2
sometimes,2
daughter,2
cooking,2
draw,2
from,2
stream,2
saw,2
something,2
dam,2
stopped,2
lay,2
could,2
face,2
travelled,2
never,2
put,2
breastbone,2
king,2
hall,2
queen,2
began,2
two,1
daughters,1
lived,1
bower,1
wooing,1
plighted,1
troth,1
ring,1
cherry,1
cheeks,1
cared,1
longer,1
hated,1
taking,1
williams,1
hate,1
plotted,1
planned,1
rid,1
fine,1
morning,1
said,1
let,1
us,1
go,1
fathers,1
rivers,1
watch,1
behind,1
caught,1
round,1
dashed,1
rushing,1
half,1
ive,1
ill,1
heir,1
land,1
shame,1
twixt,1
hearts,1
sink,1
youll,1
sunk,1
beneath,1
turned,1
home,1
swimming,1
sinking,1
mill,1
now,1
millers,1
needed,1
water,1
floating,1
called,1
theres,1
white—a,1
merry,1
maid,1
milkwhite,1
swan—coming,1
miller,1
hastened,1
heavy,1
millwheels,1
took,1
laid,1
beautiful,1
pearls,1
precious,1
stones,1
not,1
girdle,1
fringe,1
white,1
dress,1
over,1
lily,1
feet,1
beauty,1
famous,1
passed,1
pale,1
though,1
far,1
forgot,1
many,1
days,1
back,1
find,1
rest,1
bones,1
up,1
hill,1
night,1
gathered,1
hear,1
great,1
harper—king,1
son,1
court,1
first,1
old,1
making,1
joy,1
glad,1
sorrow,1
weep,1
liked,1
presently,1
sing,1
low,1
hushed,1
sung,1
mother,1
stands,1
brother,1
hugh,1
false,1
true,1
wondered,1
told,1
seen,1
lying,1
afterwards,1
singing,1
loud,1
drownèd,1
snapped,1
broke,1
more,1
