Word,Num
she,23
i,15
said,11
me,10
flew,9
on,8
came,8
mother,8
away,8
earl,7
florentine,7
prince,7
one,6
day,6
mars,6
castle,6
dear,6
come,6
down,6
queen,6
in,6
herons,6
goshawk,6
daughter,5
from,5
time,5
dove,5
coomydove,5
not,5
no,5
seven,5
till,5
up,4
well,4
bird,4
night,4
man,4
little,4
sea,4
never,4
son,4
over,4
out,4
tree,3
ill,3
home,3
took,3
young,3
ever,3
off,3
magic,3
saw,3
could,3
happy,3
lived,3
bonny,3
father,3
deep,3
dancers,3
brought,3
twentyfour,3
white,3
above,3
cygnets,3
bride,3
fine,2
would,2
music,2
birds,2
after,2
looked,2
high,2
neck,2
room,2
done,2
side,2
door,2
hours,2
hush,2
quite,2
changed,2
more,2
spells,2
wished,2
power,2
become,2
first,2
love,2
shall,2
wife,2
every,2
carried,2
back,2
great,2
marry,2
tomorrow,2
oh,2
upon,2
flying,2
pretty,2
pipers,2
grey,2
let,2
swans,2
alas,2
may,2
ostree,2
cave,2
suddenly,2
word,2
wedding,2
party,2
menatarms,2
bridegroom,2
rose,2
air,2
weddineers,2
summers,1
went,1
garden,1
dancing,1
tripping,1
along,1
played,1
sported,1
stop,1
listen,1
sat,1
under,1
shade,1
green,1
oak,1
spied,1
sprightly,1
sitting,1
branches,1
give,1
golden,1
cage,1
take,1
pet,1
scarcely,1
words,1
branch,1
settled,1
shoulder,1
nestling,1
against,1
smoothed,1
feathers,1
thinking,1
going,1
sleep,1
turning,1
round,1
found,1
handsome,1
startled,1
locked,1
brave,1
girl,1
startle,1
barred,1
ago,1
whispered,1
cooing,1
coaxed,1
low,1
name,1
something,1
knows,1
turned,1
lose,1
again,1
today,1
crossed,1
glad,1
near,1
unless,1
says,1
fly,1
leave,1
days,1
always,1
husband,1
married,1
secret,1
happily,1
knew,1
became,1
year,1
born,1
thing,1
left,1
years,1
passed,1
thus,1
trouble,1
mar,1
noble,1
degree,1
wooing,1
pressed,1
sore,1
wish,1
got,1
mighty,1
rage,1
swore,1
big,1
oath,1
sure,1
live,1
eat,1
twist,1
birdies,1
stamped,1
jumped,1
windowsill,1
moment,1
yet,1
mothers,1
now,1
taking,1
walk,1
abroad,1
overhead,1
alighting,1
walls,1
dance,1
jigs,1
called,1
pipe,1
heres,1
stay,1
hes,1
boy,1
minstrels,1
boys,1
wed,1
sads,1
tell,1
turn,1
sons,1
leader,1
reaches,1
far,1
perhaps,1
teacher,1
spaewife,1
know,1
better,1
hurries,1
comes,1
muttering,1
burning,1
herbs,1
around,1
without,1
goodbye,1
blue,1
tossing,1
moaning,1
swooped,1
setting,1
church,1
bridegrooms,1
friends,1
men,1
lastly,1
pale,1
beautiful,1
moved,1
slowly,1
stately,1
past,1
trees,1
settling,1
beneath,1
circling,1
wondered,1
sight,1
swoop,1
among,1
scattering,1
swanlets,1
charge,1
dashed,1
tied,1
gathered,1
together,1
feather,1
bed,1
placed,1
bearing,1
safety,1
towards,1
florentines,1
surely,1
disturbed,1
world,1
disappeared,1
spell,1
afterwards,1
