Word,Num
she,26
kate,25
prince,16
went,12
on,12
in,10
up,10
queen,9
anne,9
said,9
nuts,9
off,8
sick,8
birdie,8
henwife,7
home,7
till,7
one,6
took,6
came,6
would,6
rode,6
bite,6
time,5
morning,5
out,5
away,5
night,5
well,5
dance,5
again,5
fairy,5
baby,5
daughter,4
another,4
told,4
next,4
lid,4
pot,4
third,4
head,4
sister,4
behind,4
green,4
hill,4
fairies,4
dancing,4
wand,4
i,4
king,3
lassie,3
go,3
passed,3
saw,3
door,3
now,3
pretty,3
found,3
could,3
apron,3
rose,3
cracking,3
three,3
rolled,3
oh,3
gave,3
upon,2
many,2
bonnier,2
sisters,2
kings,2
fasting,2
eggs,2
set,2
along,2
henwifes,2
asked,2
lift,2
see,2
nothing,2
happened,2
minnie,2
tell,2
knew,2
from,2
watched,2
peas,2
spoke,2
lifted,2
goes,2
girl,2
sheeps,2
quite,2
however,2
castle,2
nights,2
two,2
no,2
never,2
seen,2
offered,2
peck,2
sit,2
midnight,2
horse,2
hound,2
jumped,2
open,2
let,2
young,2
meanwhile,2
sees,2
fell,2
get,2
down,2
fire,2
not,2
first,2
got,2
watch,2
playing,2
say,2
make,2
ever,2
put,2
cockcrow,2
sat,2
son,2
married,2
happy,2
lands,1
named,1
far,1
queens,1
though,1
loved,1
like,1
real,1
jealous,1
cast,1
about,1
spoil,1
beauty,1
counsel,1
send,1
early,1
dear,1
glen,1
ask,1
kitchen,1
crust,1
munched,1
keep,1
larder,1
better,1
locked,1
something,1
eat,1
sent,1
princess,1
countryfolk,1
picking,1
roadside,1
kind,1
handful,1
ate,1
way,1
youll,1
rare,1
angry,1
wont,1
boil,1
fires,1
day,1
falls,1
jumps,1
satisfied,1
back,1
fine,1
linen,1
cloth,1
wrapped,1
round,1
hand,1
seek,1
fortune,1
knocked,1
lodging,1
sons,1
sickening,1
death,1
find,1
ailed,1
curious,1
thing,1
whoever,1
more,1
silver,1
anyone,1
stop,1
katie,1
brave,1
twelve,1
clock,1
rings,1
rises,1
dresses,1
slips,1
downstairs,1
followed,1
didnt,1
seem,1
notice,1
stable,1
saddled,1
called,1
saddle,1
leapt,1
lightly,1
greenwood,1
pass,1
plucking,1
trees,1
filling,1
drew,1
bridle,1
added,1
lady,1
immediately,1
opened,1
entered,1
magnificent,1
hall,1
brightly,1
lighted,1
beautiful,1
surrounded,1
led,1
without,1
noticed,1
hid,1
longer,1
couch,1
fan,1
rise,1
last,1
cock,1
crew,1
made,1
haste,1
horseback,1
sun,1
sitting,1
good,1
unless,1
gold,1
second,1
done,1
ball,1
gathering,1
forest,1
overhears,1
strokes,1
kates,1
bonnie,1
toddled,1
after,1
fall,1
before,1
moment,1
room,1
rushed,1
touched,1
times,1
nasty,1
self,1
consented,1
marry,1
heard,1
bites,1
dropped,1
instead,1
used,1
plucked,1
feathers,1
cooked,1
soon,1
arose,1
savoury,1
smell,1
wish,1
elbow,1
byandby,1
cried,1
bed,1
dressed,1
folk,1
together,1
brother,1
annie,1
fallen,1
love,1
everybody,1
sweet,1
face,1
lived,1
died,1
drank,1
dry,1
cappy,1
