Word,Num
wont,45
dog,22
stick,20
fire,18
get,17
water,16
ox,14
little,13
said,12
pig,12
stile,12
went,12
butcher,12
home,11
piggy,10
bite,10
rope,10
wouldnt,9
met,9
shant,9
tonight,9
beat,9
rat,9
began,9
burn,8
kill,8
quench,7
cat,7
drink,6
old,5
woman,5
go,5
cow,5
hang,4
milk,4
gnaw,3
away,3
hay,3
sixpence,2
yonder,2
fetch,2
saucer,2
haystack,2
soon,2
sweeping,1
house,1
found,1
crooked,1
shall,1
market,1
buy,1
coming,1
came,1
handful,1
ill,1
give,1
brought,1
eaten,1
gave,1
lapped,1
fright,1
jumped,1
got,1
night,1
