Word,Num
still,33
sat,22
small,18
broad,14
huge,12
reeled,11
wished,11
company,11
came,11
get,11
pair,8
much,8
thick,6
thin,6
wee,6
shoulders,4
gruffly,4
whiningly,4
sitting,3
legs,3
knees,3
thighs,3
hips,3
waist,3
arms,3
neck,3
weeee—moul,3
aihhh—late—and,3
woman,2
soles,2
hands,2
head,2
feet,2
tramping,2
praying,2
big,2
carrying,2
broom,2
threshing,2
iron,2
flail,2
knowledge,2
reel,1
one,1
night,1
fireside,1
quoth,1
aihhhlate—and,1
piously,1
weeeemoul,1
aihhh—late—weeee—moul,1
pitifully,1
keenly,1
come,1
top,1
voice,1
wave,1
arm,1
stamp,1
